date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:53	1543/1543	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/MzU1eDB4NzA=/xdelirio+web+u+textu,P281,P29.jpg.pagespeed.ic.0q8NJV-Cfx.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/MzU1eDB4NzA=/xdelirio+web+u+textu,P281,P29.jpg.pagespeed.ic.0q8NJV-Cfx.jpg	(from https://www.caretta-spa.cz/virivky/delirio)
16:47:54	85406/85406	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:50%20GMT	https://www.caretta-spa.cz/images/Njh4MTkyMHgw/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA9+banner.jpg.pagespeed.ic.Dix12_c5OH.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/Njh4MTkyMHgw/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA9+banner.jpg.pagespeed.ic.Dix12_c5OH.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:54	25069/25069	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:50%20GMT	https://www.caretta-spa.cz/images/Njl4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA91.jpg.pagespeed.ic.FuV5AqK5i-.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/Njl4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA91.jpg.pagespeed.ic.FuV5AqK5i-.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:54	18656/18656	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:50%20GMT	https://www.caretta-spa.cz/images/NzB4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA92.jpg.pagespeed.ic.7Xtud5Q3U6.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NzB4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA92.jpg.pagespeed.ic.7Xtud5Q3U6.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:54	25102/25102	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2015:47:50%20GMT	https://www.caretta-spa.cz/images/NzF4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA93.jpg.pagespeed.ic.y2goAnf7zC.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NzF4NzY3eDA=/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA93.jpg.pagespeed.ic.y2goAnf7zC.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:55	1931/1931	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/Njl4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA91.jpg.pagespeed.ic.0_iRndhltT.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/Njl4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA91.jpg.pagespeed.ic.0_iRndhltT.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:55	1773/1773	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NzB4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA92.jpg.pagespeed.ic.vtXxtQvtwe.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NzB4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA92.jpg.pagespeed.ic.vtXxtQvtwe.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:55	1860/1860	---M--	200	added ('OK')	image/jpeg	etag:W/%220%22	https://www.caretta-spa.cz/images/NzF4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA93.jpg.pagespeed.ic.ZJHpGeewvt.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NzF4MHg3MA==/xv,PC3,PAD,PC5,P99ivka-infinit,PC3,PA93.jpg.pagespeed.ic.ZJHpGeewvt.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:55	949863/949863	---MC-	200	added ('OK')	application/pdf	date:Sat,%2006%20Nov%202021%2015:47:51%20GMT	https://www.caretta-spa.cz/files/284/SP%20Infinit%c3%a9.pdf	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/files/284/SP%20Infinit%c3%a9.pdf	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-infinite-fresh)
16:47:57	33472/33472	---M--	200	added ('OK')	image/jpeg	date:Sat,%2006%20Nov%202021%2014:41:46%20GMT	https://www.caretta-spa.cz/images/NDQweDc2N3gw/xtempesta+diamond+u+textu.jpg.pagespeed.ic.iRn5Us-UW7.jpg	C:/My%20Web%20Sites/caretta/www.caretta-spa.cz/images/NDQweDc2N3gw/xtempesta+diamond+u+textu.jpg.pagespeed.ic.iRn5Us-UW7.jpg	(from https://www.caretta-spa.cz/virivky/vyrazeno-z-vyroby-tempesta-diamond)
